image1_image2,label
7193_6103,diff
1798_12576,diff
3349_2082,diff
5458_8036,same
9484_3458,diff
8945_3061,same
4755_3424,same
2005_12713,same
6988_7289,diff
10508_13167,same
4405_3913,same
8881_9693,diff
1428_1519,diff
1202_12378,same
10185_2751,same
4452_12444,same
3612_7811,diff
11338_12629,same
7277_2219,diff
10998_4684,same
7507_5571,diff
3000_437,diff
2111_11784,same
11791_1914,same
5531_5430,diff
11046_301,diff
10286_5042,same
9015_3335,same
2472_11230,same
12747_9966,diff
4892_3617,diff
3382_4548,diff
10612_13030,diff
1970_1111,same
6555_3107,same
2385_6650,same
7507_9966,diff
4812_1930,diff
416_11061,diff
2763_4339,diff
4980_1049,same
9987_2813,same
11866_5913,diff
9058_2083,diff
8091_10267,diff
5796_4257,diff
2933_12971,same
10575_10345,same
5516_4227,same
5021_7201,same
11799_1820,diff
3074_6489,diff
6178_9785,diff
4768_9089,same
4173_8192,same
7607_11882,same
10667_10503,same
10399_7595,diff
3971_11909,same
9185_9643,same
10042_10451,diff
7672_11147,diff
8681_11170,same
12568_9359,same
7859_10081,same
8930_11160,diff
7955_4353,diff
3186_73,diff
7463_11080,diff
13157_7598,same
2327_11358,same
4961_2601,diff
4807_7110,same
2658_9994,same
4815_5980,diff
8946_1916,same
81_7038,same
4190_5456,same
11475_7568,diff
4292_6207,same
2573_7641,same
1594_4699,same
4152_6788,same
12762_9620,diff
409_10546,same
8936_9541,diff
2712_3073,same
9542_9133,same
5210_13069,diff
5948_11685,diff
12312_7894,same
12578_5191,same
13128_7899,diff
6115_2476,same
10392_4897,diff
6891_10637,diff
9087_8623,diff
11012_8560,same
777_31,diff
6983_2379,same
12823_1245,same
3317_3102,same
4644_11734,same
5340_7812,diff
8649_439,diff
9083_7805,diff
450_4935,diff
2161_7190,diff
8645_4731,same
10627_468,diff
8778_9931,diff
9761_8519,diff
8831_10454,diff
11455_9577,diff
6073_6840,diff
9465_10045,diff
12767_707,diff
3396_394,diff
5997_7925,same
9333_12978,same
4953_7365,diff
873_10979,same
7785_3625,same
8245_3567,same
12153_2804,diff
11205_8659,same
3505_9147,same
5045_7235,diff
13130_7763,same
11742_12600,same
3436_702,diff
2912_12231,same
12365_12096,same
9726_7322,diff
3124_9470,same
1708_3617,diff
9217_834,diff
8287_5375,same
6518_5590,same
1202_5888,same
5767_5078,diff
8728_12338,diff
4672_666,same
11645_5007,diff
8470_6431,same
8241_10123,same
11056_1036,same
12485_3762,same
553_5398,same
11619_12014,same
11536_8041,diff
5940_5350,diff
826_7322,same
12178_6561,diff
7695_10554,same
10057_6139,diff
10680_9547,same
9951_4902,same
10857_1744,same
9487_4309,same
11076_8488,diff
6176_851,diff
6334_2443,diff
10157_11455,diff
12358_5799,diff
3825_8834,diff
12701_4277,same
12925_4787,same
6634_4733,diff
11479_7839,diff
8164_8919,same
3339_10825,same
6518_4610,same
5211_4971,diff
6848_3059,same
1117_10762,same
12291_5293,diff
11000_12420,same
2675_11947,same
11959_11417,diff
879_7098,diff
3117_3278,diff
10995_10282,diff
9466_3701,diff
5467_2608,same
9194_365,same
178_384,same
9159_9201,diff
4396_10479,diff
5923_6430,diff
4535_8083,diff
6153_6443,diff
12454_6201,same
9165_10868,diff
4030_11963,diff
11596_10332,same
5671_84,same
8414_2503,diff
9699_11941,same
1384_10126,same
11463_3840,diff
3777_11406,diff
7873_11306,same
1424_11233,same
4006_7760,diff
6028_496,diff
2260_11925,diff
2432_10174,diff
7417_6623,diff
4617_1647,diff
406_6229,diff
5211_2899,diff
11052_11143,same
6878_6888,same
7942_7372,same
12180_557,diff
5961_4612,same
1796_2899,diff
6455_367,same
8500_7811,diff
10940_8003,diff
11071_462,diff
5691_12306,same
114_8915,diff
792_9322,diff
12310_4960,same
1886_6965,diff
10831_8018,same
760_6598,same
742_9168,same
12248_11231,diff
2821_9931,diff
576_440,diff
6741_11691,same
2183_12180,diff
1187_5772,same
783_8095,diff
2886_9102,diff
12526_4813,diff
5872_3631,same
700_3997,diff
4632_8748,same
2566_8493,diff
8576_7464,diff
12965_10411,same
959_3341,same
7314_8355,diff
184_1683,same
8687_5165,diff
3845_9087,same
10636_1019,diff
12755_12602,diff
7831_2765,same
117_7013,same
423_9091,same
10011_1893,diff
1535_12732,same
1463_6955,same
11592_8719,same
5484_6903,diff
3214_6105,same
11297_5785,diff
12414_9545,same
8514_682,same
13192_11711,same
1631_5561,same
130_2575,diff
10175_11350,diff
7469_10113,same
4768_12606,same
9865_2801,same
11682_2599,same
6391_3971,diff
3636_11144,same
12073_10797,same
7116_4971,diff
9713_4692,same
1997_9858,same
11882_1028,diff
10369_6898,diff
7491_11955,diff
11417_4273,same
1912_3914,same
8856_7219,same
12275_9533,diff
408_11446,diff
11308_9397,diff
4668_8425,diff
12877_4153,same
2913_1196,same
2003_13108,diff
4257_2215,same
12000_7936,diff
8496_12872,same
12400_369,diff
10203_11393,same
6288_9297,same
5183_9953,diff
9455_3906,same
8910_10500,same
8192_8625,diff
9582_5322,diff
13217_12250,diff
1633_9271,same
3496_4753,same
5518_8655,same
1469_8372,same
916_40,same
4258_4782,diff
9469_9428,same
9906_12036,same
1631_1063,same
222_6009,same
11619_545,same
5083_12531,same
3465_9873,same
24_2014,same
11_102,same
9137_13099,diff
1481_7402,diff
10190_9533,diff
13210_8981,diff
10253_1448,same
257_8367,same
1978_3734,same
8180_3964,diff
1030_5416,diff
11303_7092,diff
1448_9666,diff
11730_97,diff
2082_5335,diff
5479_5769,same
3369_516,diff
991_8736,diff
801_7632,diff
6862_10757,same
3707_7745,same
7788_2852,same
9455_44,same
9191_7373,same
4450_6606,same
669_2882,diff
8010_5507,same
12262_10665,same
12715_11061,diff
4967_10171,diff
8711_9986,same
3440_3607,same
9159_5812,diff
5226_2674,diff
13022_5325,same
12404_37,diff
5271_7274,same
9222_9,diff
4543_916,same
4401_7402,diff
761_5657,diff
5099_9926,diff
11878_2080,diff
12333_7760,diff
12400_9050,diff
11754_7816,diff
1050_11911,same
13136_8597,diff
11631_6715,diff
9744_1179,diff
2889_12972,diff
8307_9187,same
1218_8163,same
7432_9209,diff
2985_12724,diff
11519_300,diff
5139_13123,diff
5128_2611,same
9563_9225,same
11885_3364,same
12765_5486,diff
6990_12560,same
6274_12990,same
12940_3607,same
5722_3245,same
7703_1046,same
3917_11288,diff
12020_3402,diff
10029_3677,same
10879_11833,same
1905_3356,same
10080_9322,diff
7754_11925,diff
8208_10166,same
11387_4294,diff
9049_4994,same
11519_221,diff
9640_8280,same
6332_8645,diff
4892_11699,diff
11293_11670,same
4169_55,same
10432_10218,diff
3692_5019,diff
12131_10698,same
5316_4301,diff
13005_11900,same
12290_4296,same
3246_12750,diff
11219_8933,diff
1920_5732,diff
7926_12739,diff
12175_8278,same
8435_8482,same
1940_6427,diff
694_1274,diff
7926_8505,same
12839_4395,diff
6283_8218,same
2604_4552,same
917_6893,diff
10746_7604,diff
2133_4273,same
5870_2077,diff
7963_7045,diff
4527_288,same
737_7928,same
8101_8634,diff
8553_6296,diff
5655_689,same
12811_2111,diff
6810_11157,same
10471_12031,same
8186_3144,diff
10739_11191,diff
2133_1143,same
5316_12724,diff
9324_9809,diff
3741_8493,diff
465_10716,diff
10539_6576,diff
4779_11356,same
10373_12795,diff
4078_12006,diff
8018_8932,diff
13091_11284,diff
3424_11967,diff
1020_6470,same
7651_9833,same
1911_2661,diff
8734_6265,diff
3273_4031,same
8489_11649,diff
9863_13160,same
2397_7544,same
12848_12517,same
7994_13079,same
9667_12972,diff
1790_879,diff
12684_11463,diff
4226_154,same
6390_9218,diff
12069_4362,same
2105_11987,same
3033_3354,diff
4352_12669,same
11334_3914,same
3033_543,diff
3114_3123,diff
1296_12181,diff
5980_8305,same
4232_2913,diff
11536_11759,diff
12601_8671,diff
11660_10928,same
2175_11269,diff
12767_11400,diff
9576_2443,same
4225_4568,diff
7714_3047,diff
4850_6026,diff
6296_779,diff
11799_10714,diff
918_11500,diff
522_2034,diff
10910_4804,diff
7083_3702,same
5841_4895,same
4348_4396,same
5500_3191,diff
8296_12953,same
1694_1737,same
235_7246,diff
6431_10089,same
4131_1041,diff
4610_10994,same
698_1646,same
11154_12181,diff
13006_10478,same
11053_8622,diff
565_13219,same
2989_3409,diff
2086_10246,diff
7264_4784,diff
10805_1513,diff
3983_3425,diff
5151_8475,diff
1364_2959,diff
10373_9504,diff
6453_4004,same
6787_6882,same
9049_2481,diff
11692_241,same
3434_10703,same
2697_8824,same
11787_262,same
1880_3390,same
11571_6594,diff
12459_12482,diff
1766_9118,diff
5866_10641,diff
2613_12250,diff
400_6124,same
10580_4391,same
2848_12750,diff
4677_2901,diff
10317_8657,diff
